,总量,,,中餐厅,,,外国餐厅,,,快餐厅,,城市,甜品饮品店
抚顺市,6354,,铜仁市,4482,,张家界市,84,,佳木斯市,1128,,大庆市,572
丹东市,6337,,忻州市,4437,,吉安市,82,,盘锦市,1125,,崇左市,569
衢州市,6314,,衢州市,4381,,汉中市,82,,阳江市,1116,,丹东市,553
昭通市,6243,,荆门市,4375,,三门峡市,81,,三亚市,1116,,牡丹江市,551
丽江市,6145,,松原市,4367,,钦州市,81,,恩施土家族苗族自治州,1111,,铜仁市,550
黄石市,6139,,内江市,4347,,咸宁市,80,,安顺市,1096,,雅安市,549
六盘水市,6129,,巴彦淖尔市,4313,,贵港市,80,,广安市,1086,,宣城市,541
娄底市,6115,,黄石市,4291,,锡林郭勒盟,79,,延安市,1086,,漯河市,533
忻州市,6070,,丹东市,4266,,抚州市,77,,衢州市,1083,,汉中市,527
十堰市,6068,,百色市,4263,,黔东南苗族侗族自治州,77,,荆门市,1077,,吕梁市,516
铜仁市,6068,,通化市,4219,,宝鸡市,77,,晋城市,1061,,萍乡市,510
荆门市,6023,,汕尾市,4214,,鸡西市,76,,淮北市,1057,,天水市,505
文山壮族苗族自治州,5933,,娄底市,4193,,漯河市,76,,钦州市,1057,,呼伦贝尔市,503
河池市,5925,,十堰市,4188,,眉山市,76,,咸宁市,1033,,恩施土家族苗族自治州,503
自贡市,5925,,延安市,4178,,十堰市,75,,松原市,1005,,荆门市,501
黔西南布依族苗族自治州,5899,,抚顺市,4060,,遂宁市,75,,遂宁市,995,,长治市,498
梧州市,5889,,晋城市,4037,,百色市,74,,通化市,986,,六盘水市,495
松原市,5810,,北海市,4036,,丽江市,73,,铜仁市,976,,湘西土家族苗族自治州,494
巴彦淖尔市,5765,,淮北市,3873,,吕梁市,71,,巴彦淖尔市,975,,贺州市,484
通化市,5755,,葫芦岛市,3867,,阜新市,71,,内江市,921,,佳木斯市,477
葫芦岛市,5710,,盘锦市,3864,,毕节市,71,,昭通市,920,,普洱市,473
延安市,5635,,咸宁市,3823,,黔南布依族苗族自治州,71,,阜新市,902,,咸宁市,472
三亚市,5606,,河池市,3798,,荆门市,70,,丽江市,892,,三门峡市,471
盘锦市,5485,,贵港市,3787,,黑河市,69,,伊犁哈萨克自治州,887,,承德市,467
淮北市,5448,,自贡市,3739,,大兴安岭地区,69,,巴音郭楞蒙古自治州,879,,黔西南布依族苗族自治州,465
晋城市,5437,,三亚市,3661,,河池市,68,,黄山市,865,,四平市,461
